protocol,tls_version,cipher,key_size,cert_expired,cert_not_yet_valid,signature_algorithm,starttls,forward_secrecy,risk_label
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,0,0,Medium
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
SMTP,TLS1.2,AES_128_GCM,2048.0,1.0,0.0,SHA384,1,1,Low
SMTP,TLS1.3,AES_128_CBC,,,,,1,1,Low
IMAP,TLS1.3,3DES,,,,,1,1,Medium
SMTP,TLS1.2,CHACHA20_POLY1305,3072.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA512,1,0,Medium
IMAP,TLS1.3,CHACHA20_POLY1305,,,,,1,0,Low
SMTP,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
IMAP,TLS1.2,AES_128_CBC,3072.0,0.0,0.0,SHA384,1,1,Low
IMAP,TLS1.3,AES_128_GCM,,,,,0,1,Low
POP3,TLS1.1,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA384,1,1,Medium
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
SMTP,TLS1.0,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,1,Medium
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA512,1,1,Low
IMAP,TLS1.1,AES_256_GCM,2048.0,0.0,0.0,SHA384,1,1,Medium
SMTP,TLS1.3,3DES,,,,,1,0,Medium
SMTP,TLS1.2,AES_128_GCM,1024.0,0.0,0.0,SHA384,1,1,Medium
SMTP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,0,1,Low
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,0,Low
SMTP,TLS1.1,AES_128_CBC,3072.0,0.0,0.0,SHA384,1,1,Medium
SMTP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
POP3,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA384,1,1,Low
SMTP,TLS1.2,AES_256_GCM,2048.0,1.0,1.0,SHA512,0,1,Low
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,1.0,SHA256,1,0,Medium
SMTP,TLS1.0,AES_128_CBC,3072.0,0.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.3,AES_128_GCM,,,,,0,0,Medium
SMTP,TLS1.2,AES_256_CBC,3072.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_128_GCM,4096.0,0.0,0.0,SHA512,0,1,Low
SMTP,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA384,0,1,Low
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA384,1,0,Medium
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,1.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,0,Medium
POP3,TLS1.0,CHACHA20_POLY1305,1024.0,0.0,0.0,SHA512,0,1,High
SMTP,TLS1.2,CHACHA20_POLY1305,3072.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_128_CBC,2048.0,0.0,0.0,SHA256,0,1,Medium
IMAP,TLS1.3,AES_256_GCM,,,,,1,0,Low
IMAP,TLS1.0,AES_256_CBC,2048.0,0.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.3,AES_128_GCM,,,,,1,0,Low
IMAP,TLS1.0,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.3,AES_128_CBC,,,,,1,0,Medium
IMAP,TLS1.3,CHACHA20_POLY1305,,,,,0,1,Low
SMTP,TLS1.3,CHACHA20_POLY1305,,,,,1,1,Low
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,0,Medium
POP3,TLS1.3,AES_256_CBC,,,,,1,1,Low
IMAP,TLS1.3,AES_256_GCM,,,,,1,1,Low
SMTP,TLS1.3,AES_128_CBC,,,,,1,0,Medium
SMTP,TLS1.1,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.1,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,0,Medium
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA512,0,1,Low
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,0,1,Low
SMTP,TLS1.1,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.3,AES_256_CBC,,,,,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,0,Low
IMAP,TLS1.0,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
IMAP,TLS1.0,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,0,1,Low
IMAP,TLS1.0,CHACHA20_POLY1305,2048.0,0.0,1.0,SHA512,0,1,Medium
IMAP,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.1,AES_256_GCM,3072.0,0.0,0.0,SHA1,1,1,Medium
POP3,TLS1.1,CHACHA20_POLY1305,3072.0,0.0,1.0,SHA256,0,0,Medium
SMTP,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA256,0,1,Medium
IMAP,TLS1.0,AES_128_CBC,3072.0,0.0,0.0,SHA256,1,0,High
POP3,TLS1.3,AES_128_GCM,,,,,0,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.3,AES_256_CBC,,,,,1,1,Low
POP3,TLS1.3,AES_256_CBC,,,,,1,0,Medium
IMAP,TLS1.3,AES_128_GCM,,,,,0,0,Medium
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.2,AES_128_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA384,1,1,Low
IMAP,TLS1.0,AES_256_CBC,2048.0,0.0,0.0,SHA384,0,1,High
IMAP,TLS1.3,CHACHA20_POLY1305,,,,,1,1,Low
POP3,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_128_GCM,4096.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,CHACHA20_POLY1305,3072.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.1,AES_256_CBC,2048.0,0.0,0.0,SHA384,1,1,Medium
SMTP,TLS1.1,AES_128_GCM,2048.0,0.0,0.0,SHA1,0,1,High
POP3,TLS1.2,AES_256_CBC,1024.0,0.0,0.0,SHA256,1,1,Medium
IMAP,TLS1.2,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA256,1,0,Medium
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA384,1,0,Medium
IMAP,TLS1.3,AES_128_GCM,,,,,1,0,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA1,1,1,Medium
POP3,TLS1.3,AES_256_GCM,,,,,0,1,Low
SMTP,TLS1.3,AES_256_CBC,,,,,1,0,Medium
SMTP,TLS1.2,CHACHA20_POLY1305,2048.0,1.0,0.0,SHA384,1,1,Low
SMTP,TLS1.1,AES_256_GCM,2048.0,0.0,0.0,SHA512,0,1,Medium
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
POP3,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
IMAP,TLS1.0,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA512,1,0,Medium
IMAP,TLS1.2,AES_256_GCM,3072.0,0.0,1.0,SHA256,1,1,Low
IMAP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
IMAP,TLS1.3,AES_128_GCM,,,,,0,1,Low
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA384,1,0,Medium
SMTP,TLS1.2,CHACHA20_POLY1305,3072.0,0.0,0.0,SHA256,1,0,Low
SMTP,TLS1.2,AES_128_GCM,2048.0,1.0,0.0,SHA256,1,1,Low
IMAP,TLS1.3,AES_256_GCM,,,,,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,0,Low
SMTP,TLS1.3,AES_128_GCM,,,,,1,0,Low
POP3,TLS1.0,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA1,1,1,Medium
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
IMAP,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA384,1,1,Low
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.0,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.3,AES_256_GCM,,,,,0,1,Low
IMAP,TLS1.3,AES_256_CBC,,,,,1,1,Low
IMAP,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.2,CHACHA20_POLY1305,2048.0,1.0,0.0,SHA384,1,1,Low
IMAP,TLS1.2,AES_128_GCM,3072.0,0.0,1.0,SHA256,1,1,Low
IMAP,TLS1.1,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA512,1,0,Medium
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA384,0,1,Low
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,0,1,Low
POP3,TLS1.2,AES_128_CBC,1024.0,1.0,0.0,SHA256,1,1,Medium
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.1,CHACHA20_POLY1305,3072.0,0.0,0.0,SHA512,1,0,Medium
POP3,TLS1.1,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,0,Medium
SMTP,TLS1.3,AES_256_GCM,,,,,0,1,Low
IMAP,TLS1.2,AES_128_CBC,2048.0,0.0,0.0,SHA256,0,1,Medium
SMTP,TLS1.3,AES_128_GCM,,,,,1,0,Low
SMTP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,0,Medium
SMTP,TLS1.3,CHACHA20_POLY1305,,,,,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,0,1,Low
IMAP,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.1,AES_256_CBC,1024.0,0.0,0.0,SHA256,1,0,High
SMTP,TLS1.0,AES_128_CBC,2048.0,0.0,0.0,SHA512,1,1,Medium
IMAP,TLS1.3,AES_256_CBC,,,,,1,1,Low
IMAP,TLS1.3,AES_256_GCM,,,,,1,1,Low
SMTP,TLS1.1,AES_256_GCM,2048.0,1.0,0.0,SHA256,1,1,Medium
POP3,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA384,1,1,Low
IMAP,TLS1.3,AES_128_CBC,,,,,1,0,Medium
IMAP,TLS1.3,3DES,,,,,1,1,Medium
POP3,TLS1.2,AES_256_GCM,4096.0,0.0,0.0,SHA256,1,0,Low
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,0,Low
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.0,AES_128_GCM,2048.0,1.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.0,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.1,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,0,1,Low
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.3,AES_128_GCM,,,,,1,1,Low
IMAP,TLS1.1,AES_256_GCM,2048.0,1.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.3,3DES,,,,,1,1,Medium
SMTP,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.3,3DES,,,,,1,1,Medium
IMAP,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.3,AES_256_CBC,,,,,1,0,Medium
POP3,TLS1.2,CHACHA20_POLY1305,2048.0,0.0,1.0,SHA512,1,1,Low
IMAP,TLS1.3,AES_128_GCM,,,,,0,1,Low
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
IMAP,TLS1.3,CHACHA20_POLY1305,,,,,1,0,Low
POP3,TLS1.3,AES_256_GCM,,,,,1,0,Low
POP3,TLS1.3,CHACHA20_POLY1305,,,,,1,1,Low
IMAP,TLS1.3,AES_256_GCM,,,,,1,1,Low
POP3,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.3,AES_128_GCM,,,,,0,0,Medium
POP3,TLS1.0,AES_128_GCM,3072.0,1.0,0.0,SHA256,0,1,Medium
SMTP,TLS1.3,3DES,,,,,1,0,Medium
POP3,TLS1.3,CHACHA20_POLY1305,,,,,1,1,Low
SMTP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.2,AES_256_GCM,1024.0,0.0,0.0,SHA384,1,1,Medium
POP3,TLS1.3,AES_256_GCM,,,,,1,1,Low
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,1.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.0,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA384,1,1,Medium
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.2,AES_128_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
IMAP,TLS1.3,AES_256_GCM,,,,,1,0,Low
POP3,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA1,1,1,Medium
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA512,1,1,Low
POP3,TLS1.0,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.3,AES_256_GCM,,,,,1,1,Low
SMTP,TLS1.0,AES_256_GCM,1024.0,0.0,0.0,SHA256,0,1,High
IMAP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,0,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,0,Low
POP3,TLS1.1,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
IMAP,TLS1.1,AES_256_CBC,3072.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.3,CHACHA20_POLY1305,,,,,0,1,Low
SMTP,TLS1.1,3DES,2048.0,0.0,0.0,SHA256,1,1,High
IMAP,TLS1.2,CHACHA20_POLY1305,3072.0,0.0,0.0,SHA256,1,0,Low
POP3,TLS1.3,CHACHA20_POLY1305,,,,,1,1,Low
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
SMTP,TLS1.3,AES_256_CBC,,,,,1,0,Medium
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
IMAP,TLS1.1,AES_128_GCM,3072.0,0.0,0.0,SHA256,1,1,Medium
IMAP,TLS1.3,AES_128_GCM,,,,,1,1,Low
POP3,TLS1.1,AES_256_GCM,2048.0,0.0,0.0,SHA384,0,1,Medium
POP3,TLS1.0,AES_128_CBC,1024.0,0.0,0.0,SHA256,1,1,High
SMTP,TLS1.2,AES_128_GCM,4096.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.3,AES_128_CBC,,,,,1,0,Medium
IMAP,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA512,0,1,Low
SMTP,TLS1.0,AES_128_GCM,1024.0,0.0,0.0,SHA256,1,1,High
SMTP,TLS1.0,AES_256_GCM,2048.0,1.0,0.0,SHA256,1,1,Medium
POP3,TLS1.1,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA1,1,1,Medium
SMTP,TLS1.0,AES_256_GCM,2048.0,0.0,0.0,SHA384,0,0,High
IMAP,TLS1.3,AES_128_GCM,,,,,1,0,Low
SMTP,TLS1.3,AES_128_GCM,,,,,1,0,Low
POP3,TLS1.1,AES_256_GCM,1024.0,0.0,0.0,SHA256,0,1,High
POP3,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.3,AES_256_CBC,,,,,1,1,Low
IMAP,TLS1.1,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.3,CHACHA20_POLY1305,,,,,1,0,Low
IMAP,TLS1.2,AES_128_CBC,2048.0,0.0,0.0,SHA256,0,0,Medium
IMAP,TLS1.3,AES_256_GCM,,,,,1,1,Low
SMTP,TLS1.1,AES_256_GCM,4096.0,0.0,0.0,SHA512,1,1,Medium
IMAP,TLS1.2,3DES,2048.0,0.0,0.0,SHA384,1,1,Medium
POP3,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_256_CBC,3072.0,0.0,0.0,SHA256,0,1,Medium
SMTP,TLS1.2,AES_128_CBC,1024.0,0.0,0.0,SHA256,1,0,High
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA512,1,0,Medium
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
IMAP,TLS1.3,AES_256_GCM,,,,,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,1,Low
POP3,TLS1.3,AES_128_CBC,,,,,1,1,Low
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
POP3,TLS1.2,AES_128_CBC,2048.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.2,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA256,0,1,Low
POP3,TLS1.2,3DES,2048.0,0.0,0.0,SHA256,0,0,High
SMTP,TLS1.3,AES_128_CBC,,,,,1,1,Low
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.2,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA512,1,1,Low
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.3,AES_256_CBC,,,,,1,1,Low
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
SMTP,TLS1.2,AES_128_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA384,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,1,Low
POP3,TLS1.3,AES_256_GCM,,,,,1,1,Low
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA512,0,1,Low
POP3,TLS1.3,AES_128_GCM,,,,,0,1,Low
IMAP,TLS1.3,3DES,,,,,1,1,Medium
IMAP,TLS1.2,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA512,1,0,Medium
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,0,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA256,0,1,Low
POP3,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_128_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
IMAP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,1,Low
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.2,CHACHA20_POLY1305,3072.0,1.0,0.0,SHA256,1,0,Low
SMTP,TLS1.1,AES_256_CBC,2048.0,0.0,0.0,SHA256,1,0,High
IMAP,TLS1.2,3DES,2048.0,0.0,0.0,SHA256,0,1,Medium
IMAP,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA384,0,1,Medium
IMAP,TLS1.3,AES_128_GCM,,,,,1,1,Low
POP3,TLS1.2,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.3,AES_128_GCM,,,,,1,1,Low
IMAP,TLS1.0,AES_128_GCM,3072.0,0.0,0.0,SHA256,1,1,Medium
IMAP,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA256,0,1,Low
IMAP,TLS1.2,AES_256_CBC,3072.0,0.0,0.0,SHA256,1,0,Medium
POP3,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.2,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_256_CBC,4096.0,0.0,1.0,SHA256,0,1,Medium
SMTP,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA384,1,1,Low
SMTP,TLS1.2,AES_256_GCM,4096.0,0.0,0.0,SHA256,1,0,Low
IMAP,TLS1.3,AES_256_GCM,,,,,0,1,Low
SMTP,TLS1.2,CHACHA20_POLY1305,2048.0,1.0,0.0,SHA384,0,1,Low
SMTP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA1,1,1,Medium
IMAP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA512,1,1,Low
SMTP,TLS1.1,AES_128_GCM,2048.0,0.0,0.0,SHA1,1,1,Medium
POP3,TLS1.1,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.0,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,1,Medium
IMAP,TLS1.3,AES_128_GCM,,,,,0,1,Low
IMAP,TLS1.3,AES_128_GCM,,,,,0,1,Low
POP3,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
POP3,TLS1.1,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.2,3DES,3072.0,0.0,0.0,SHA384,1,1,Medium
IMAP,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,0,Low
POP3,TLS1.0,AES_256_GCM,2048.0,0.0,0.0,SHA256,0,1,Medium
IMAP,TLS1.3,AES_128_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_256_GCM,1024.0,1.0,0.0,SHA512,1,1,Medium
POP3,TLS1.0,AES_256_GCM,4096.0,0.0,0.0,SHA384,1,1,Medium
SMTP,TLS1.3,AES_256_GCM,,,,,0,0,Medium
POP3,TLS1.1,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,0,Medium
POP3,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA384,1,0,Low
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA512,1,1,Low
IMAP,TLS1.3,AES_128_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
IMAP,TLS1.0,3DES,2048.0,0.0,0.0,SHA384,0,1,High
SMTP,TLS1.3,3DES,,,,,1,1,Medium
IMAP,TLS1.3,AES_128_GCM,,,,,1,1,Low
SMTP,TLS1.0,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,0,Medium
IMAP,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA256,1,1,Low
SMTP,TLS1.2,AES_128_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
IMAP,TLS1.2,CHACHA20_POLY1305,3072.0,0.0,0.0,SHA256,0,1,Low
IMAP,TLS1.0,AES_128_GCM,2048.0,0.0,0.0,SHA256,0,1,Medium
IMAP,TLS1.3,AES_256_GCM,,,,,1,0,Low
IMAP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA1,1,0,Medium
POP3,TLS1.2,AES_256_GCM,3072.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA256,0,1,Medium
IMAP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA512,1,1,Low
IMAP,TLS1.2,AES_128_GCM,4096.0,0.0,0.0,SHA256,1,0,Low
POP3,TLS1.0,CHACHA20_POLY1305,4096.0,0.0,0.0,SHA1,1,0,High
IMAP,TLS1.2,AES_128_GCM,3072.0,0.0,0.0,SHA384,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,1,Low
POP3,TLS1.0,AES_256_CBC,2048.0,0.0,0.0,SHA256,1,0,High
IMAP,TLS1.3,AES_256_GCM,,,,,1,1,Low
SMTP,TLS1.0,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA512,0,1,Medium
POP3,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA1,1,1,Medium
IMAP,TLS1.2,AES_256_GCM,1024.0,0.0,0.0,SHA256,1,1,Medium
IMAP,TLS1.3,AES_256_GCM,,,,,1,1,Low
SMTP,TLS1.3,CHACHA20_POLY1305,,,,,1,1,Low
IMAP,TLS1.3,AES_128_CBC,,,,,1,1,Low
POP3,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.3,CHACHA20_POLY1305,,,,,1,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,0,Low
SMTP,TLS1.2,AES_256_GCM,2048.0,0.0,1.0,SHA512,0,1,Low
SMTP,TLS1.2,AES_256_GCM,4096.0,0.0,0.0,SHA384,1,1,Low
IMAP,TLS1.3,AES_128_GCM,,,,,1,1,Low
POP3,TLS1.3,AES_128_GCM,,,,,1,0,Low
SMTP,TLS1.0,CHACHA20_POLY1305,2048.0,0.0,0.0,SHA256,1,0,Medium
SMTP,TLS1.3,AES_128_GCM,,,,,1,1,Low
POP3,TLS1.3,AES_256_CBC,,,,,1,1,Low
SMTP,TLS1.2,3DES,3072.0,0.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.0,CHACHA20_POLY1305,4096.0,0.0,0.0,SHA256,1,0,Medium
IMAP,TLS1.3,AES_256_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_256_GCM,2048.0,0.0,0.0,SHA384,1,1,Low
SMTP,TLS1.3,AES_256_CBC,,,,,1,1,Low
